1000
-1.057,-1.215,0
1.887,0.858,0
1.442,0.866,0
1.112,-1.316,0
0.169,0.321,1
0.109,0.202,1
1.403,-1.697,0
-0.612,-0.609,1
0.921,-1.487,0
-1.503,-1.897,0
-0.173,-0.428,1
-0.897,1.357,0
-1.26,-0.499,0
-0.991,-0.295,1
-1.88,-0.93,0
0.339,1.636,0
0.468,0.335,1
-1.81,1.726,0
-0.459,1.161,0
-0.38,1.73,0
0.703,0.407,1
1.473,-0.842,0
1.573,1.488,0
-1.368,-1.464,0
-1.347,1.52,0
0.388,1.4,0
-0.639,-0.698,1
-1.609,1.247,0
-0.818,-1.609,0
-0.381,0.349,1
0.529,-1.368,0
0.882,1.907,0
1.939,1.921,0
0.913,0.098,1
0.447,0.643,1
-0.217,1.719,0
0.152,0.084,1
1.437,1.336,0
-1.316,1.509,0
1.792,-0.967,0
-1.067,-0.785,0
-0.973,1.292,0
-1.813,-1.919,0
0.895,-1.028,0
1.626,1.453,0
-1.401,-1.595,0
-1.213,-0.665,0
0.523,-1.676,0
-0.46,-0.009,1
-1.256,-0.99,0
-1.986,-0.158,0
0.534,-1.803,0
-0.042,-1.027,0
-1.586,0.764,0
1.251,-1.798,0
0.33,-0.041,1
1.582,0.472,0
-1.621,1.53,0
0.726,0.311,1
-1.166,-1.948,0
1.093,0.147,0
-1.342,0.306,0
-1.533,-1.925,0
0.148,0.155,1
0.604,1.195,0
-1.999,-1.797,0
-1.895,1.568,0
-1.313,0.382,0
0.323,0.613,1
1.244,0.557,0
-0.709,-0.199,1
-0.664,-0.767,1
1.725,0.933,0
1.641,-0.829,0
-1.548,-1.76,0
-0.692,-1.511,0
-0.931,0.332,1
1.699,1.022,0
-1.89,1.943,0
0.99,-0.742,1
-0.536,0.135,1
-1.316,0.14,0
-0.851,0.395,1
0.131,-1.448,0
1.265,-0.542,0
0.16,-0.942,1
-0.456,-1.533,0
-1.632,1.103,0
1.203,-0.821,0
1.028,1.81,0
-0.277,0.481,1
0.391,-1.867,0
-0.33,-1.886,0
-0.885,0.44,1
-1.314,-1.3,0
-1.235,0.422,0
1.575,1.222,0
0.564,1.107,0
-0.475,0.567,1
-0.572,1.835,0
-0.176,0.161,1
1.52,-0.789,0
1.837,1.844,0
1.215,-0.142,0
-1.422,-0.516,0
-1.587,0.671,0
-1.442,-1.819,0
-0.013,-1.085,0
-0.094,0.175,1
-1.043,0.695,0
1.325,-0.441,0
1.922,0.321,0
1.118,-0.421,0
-0.178,1.169,0
0.075,-1.1,0
-1.904,-1.55,0
-1.055,0.463,0
0.267,0.733,1
1.233,-1.13,0
-1.701,-1.44,0
0.832,1.473,0
-1.798,0.257,0
-1.48,-1.94,0
-0.933,-1.212,0
-1.01,-1.61,0
1.61,-0.65,0
-0.508,0.928,1
-0.842,1.765,0
0.486,0.871,1
0.263,1.475,0
-0.049,1.36,0
1.484,0.296,0
-0.6,0.176,1
1.862,-0.124,0
-1.217,0.308,0
-1.595,-0.625,0
1.259,-1.004,0
0.321,-1.204,0
0.788,1.095,0
1.82,-1.681,0
1.748,-1.676,0
0.104,-1.737,0
1.864,-0.664,0
0.339,-0.487,1
1.164,-0.058,0
0.98,0.559,1
-0.12,0.573,1
-0.06,-0.003,1
0.847,0.43,1
-0.468,0.706,1
1.937,0.49,0
0.845,-0.424,1
1.662,0.56,0
-0.716,-0.201,1
-0.121,-1.346,0
1.138,-1.749,0
-1.364,1.685,0
1.258,-1.368,0
0.418,-1.141,0
0.682,-1.09,0
-0.024,-0.878,1
1.959,1.564,0
0.93,1.225,0
0.8,1.37,0
0.572,0.066,1
-1.24,1.771,0
-0.594,0.609,1
0.191,1.782,0
-1.99,-1.032,0
-1.433,-0.283,0
-1.958,-0.239,0
0.171,-1.794,0
-1.821,1.006,0
1.3,1.155,0
-0.162,1.439,0
-0.649,1.49,0
0.914,-0.363,1
0.854,-0.819,1
-0.167,-1.909,0
1.994,0.839,0
1.301,0.768,0
1.697,-0.081,0
0.076,0.953,1
1.957,-0.313,0
-1.792,0.551,0
-0.157,1.808,0
-0.51,1.202,0
1.464,1.409,0
-0.97,1.728,0
-0.418,-1.535,0
-1.854,1.753,0
0.201,-1.095,0
-0.312,0.023,1
-0.209,-1.966,0
1.67,-0.924,0
-1.821,-0.355,0
1.244,-1.65,0
-0.614,0.832,1
-1.833,-0.306,0
0.756,-0.212,1
-1.566,0.214,0
-1.129,-1.389,0
1.598,-1.636,0
-0.668,-0.508,1
0.955,1.198,0
-1.829,-0.737,0
-0.81,0.448,1
-1.121,-1.0,0
-1.728,-1.562,0
-1.439,-1.686,0
-1.233,-0.362,0
0.459,-1.075,0
1.654,1.04,0
-0.31,-1.239,0
1.341,-1.248,0
-0.338,-1.871,0
1.135,-0.506,0
-1.24,0.327,0
-1.807,-0.571,0
-1.003,0.873,0
-1.6,0.778,0
-1.59,-1.599,0
0.819,0.189,1
-1.987,0.444,0
0.603,0.363,1
-0.532,0.094,1
1.3,-0.524,0
0.367,0.939,1
-0.503,-1.055,0
-0.241,-0.333,1
0.655,1.867,0
1.922,1.044,0
